pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
11,junk,10/09/2020 00:00:00,40.000000,17.20,18.00,17.6,99999,99999
11,junk,10/09/2020 00:00:00,56.000000,14.20,17.40,15.799999999999999,99999,99999
11,junk,10/09/2020 00:00:00,72.000000,13.00,13.40,13.2,99999,99999
11,junk,10/09/2020 00:00:00,96.000000,12.60,12.60,12.6,99999,99999
12,junk,10/10/2020 00:00:00,0.000000,17.60,18.00,17.8,99999,99999
12,junk,10/10/2020 00:00:00,8.000000,17.60,18.00,17.8,99999,99999
12,junk,10/10/2020 00:00:00,24.000000,17.40,18.00,17.7,99999,99999
12,junk,10/10/2020 00:00:00,40.000000,14.40,17.80,16.1,99999,99999
12,junk,10/10/2020 00:00:00,64.000000,13.20,13.60,13.399999999999999,99999,99999
13,junk,10/11/2020 00:00:00,0.000000,17.40,17.80,17.6,99999,99999
13,junk,10/11/2020 00:00:00,8.000000,17.40,17.80,17.6,99999,99999
13,junk,10/11/2020 00:00:00,24.000000,17.40,17.80,17.6,99999,99999
13,junk,10/11/2020 00:00:00,40.000000,17.40,17.80,17.6,99999,99999
13,junk,10/11/2020 00:00:00,56.000000,13.80,17.00,15.4,99999,99999
13,junk,10/11/2020 00:00:00,80.000000,12.60,13.00,12.8,99999,99999
14,junk,10/13/2020 00:00:00,0.000000,17.80,18.00,17.9,99999,99999
14,junk,10/13/2020 00:00:00,8.000000,17.80,18.00,17.9,99999,99999
14,junk,10/13/2020 00:00:00,24.000000,17.80,18.00,17.9,99999,99999
14,junk,10/13/2020 00:00:00,40.000000,17.80,18.00,17.9,99999,99999
14,junk,10/13/2020 00:00:00,64.000000,17.40,17.80,17.6,99999,99999
15,junk,10/14/2020 00:00:00,0.000000,17.80,18.00,17.9,99999,99999
15,junk,10/14/2020 00:00:00,8.000000,17.80,18.00,17.9,99999,99999
15,junk,10/14/2020 00:00:00,24.000000,17.80,18.00,17.9,99999,99999
15,junk,10/14/2020 00:00:00,40.000000,17.60,17.80,17.700000000000003,99999,99999
15,junk,10/14/2020 00:00:00,56.000000,14.00,17.80,15.9,99999,99999
15,junk,10/14/2020 00:00:00,72.000000,13.20,13.40,13.3,99999,99999
15,junk,10/14/2020 00:00:00,96.000000,12.60,12.60,12.6,99999,99999
16,junk,10/15/2020 00:00:00,0.000000,17.20,17.80,17.5,99999,99999
16,junk,10/15/2020 00:00:00,8.000000,17.20,17.80,17.5,99999,99999
16,junk,10/15/2020 00:00:00,24.000000,17.20,17.80,17.5,99999,99999
16,junk,10/15/2020 00:00:00,40.000000,17.20,17.80,17.5,99999,99999
16,junk,10/15/2020 00:00:00,56.000000,14.40,17.80,16.1,99999,99999
16,junk,10/15/2020 00:00:00,72.000000,13.20,14.40,13.8,99999,99999
16,junk,10/15/2020 00:00:00,96.000000,12.60,12.60,12.6,99999,99999
17,junk,10/16/2020 00:00:00,0.000000,17.20,17.80,17.5,99999,99999
17,junk,10/16/2020 00:00:00,8.000000,17.20,17.80,17.5,99999,99999
17,junk,10/16/2020 00:00:00,24.000000,17.20,17.80,17.5,99999,99999
17,junk,10/16/2020 00:00:00,40.000000,17.00,17.80,17.4,99999,99999
17,junk,10/16/2020 00:00:00,56.000000,16.80,17.60,17.200000000000003,99999,99999
17,junk,10/16/2020 00:00:00,80.000000,13.20,13.60,13.399999999999999,99999,99999
17,junk,10/16/2020 00:00:00,88.000000,13.20,13.20,13.2,99999,99999
18,junk,10/17/2020 00:00:00,0.000000,17.20,17.80,17.5,99999,99999
18,junk,10/17/2020 00:00:00,8.000000,17.20,17.80,17.5,99999,99999
18,junk,10/17/2020 00:00:00,24.000000,17.40,17.80,17.6,99999,99999
18,junk,10/17/2020 00:00:00,40.000000,17.40,17.80,17.6,99999,99999
18,junk,10/17/2020 00:00:00,56.000000,14.00,17.60,15.8,99999,99999
18,junk,10/17/2020 00:00:00,80.000000,13.00,13.60,13.3,99999,99999
18,junk,10/17/2020 00:00:00,88.000000,13.00,13.00,13.0,99999,99999
19,junk,10/18/2020 00:00:00,0.000000,17.60,17.80,17.700000000000003,99999,99999
19,junk,10/18/2020 00:00:00,8.000000,17.60,17.80,17.700000000000003,99999,99999
19,junk,10/18/2020 00:00:00,24.000000,17.60,17.60,17.6,99999,99999
19,junk,10/18/2020 00:00:00,40.000000,17.60,17.60,17.6,99999,99999
19,junk,10/18/2020 00:00:00,56.000000,14.60,17.60,16.1,99999,99999
19,junk,10/18/2020 00:00:00,72.000000,13.00,14.80,13.9,99999,99999
20,junk,10/19/2020 00:00:00,0.000000,17.40,17.60,17.5,99999,99999
20,junk,10/19/2020 00:00:00,24.000000,17.40,17.60,17.5,99999,99999
20,junk,10/19/2020 00:00:00,72.000000,12.80,14.60,13.7,99999,99999
20,junk,10/19/2020 00:00:00,128.000000,12.20,12.40,12.3,99999,99999
20,junk,10/19/2020 00:00:00,208.000000,12.00,12.00,12.0,99999,99999
20,junk,10/19/2020 00:00:00,240.000000,11.80,12.00,11.9,99999,99999
20,junk,10/19/2020 00:00:00,296.000000,11.80,11.80,11.8,99999,99999
20,junk,10/19/2020 00:00:00,336.000000,11.60,11.60,11.6,99999,99999
21,junk,10/20/2020 00:00:00,0.000000,16.60,17.40,17.0,99999,99999
21,junk,10/20/2020 00:00:00,8.000000,16.80,17.40,17.1,99999,99999
21,junk,10/20/2020 00:00:00,32.000000,16.80,17.40,17.1,99999,99999
21,junk,10/20/2020 00:00:00,56.000000,13.40,17.40,15.399999999999999,99999,99999
21,junk,10/20/2020 00:00:00,88.000000,12.60,12.80,12.7,99999,99999
21,junk,10/20/2020 00:00:00,104.000000,12.40,12.60,12.5,99999,99999
21,junk,10/20/2020 00:00:00,144.000000,12.20,12.40,12.3,99999,99999
21,junk,10/20/2020 00:00:00,160.000000,12.20,12.20,12.2,99999,99999
22,junk,10/21/2020 00:00:00,0.000000,16.80,17.80,17.3,99999,99999
22,junk,10/21/2020 00:00:00,8.000000,16.80,17.80,17.3,99999,99999
22,junk,10/21/2020 00:00:00,32.000000,16.40,17.80,17.1,99999,99999
22,junk,10/21/2020 00:00:00,56.000000,13.00,17.00,15.0,99999,99999
22,junk,10/21/2020 00:00:00,80.000000,12.60,13.00,12.8,99999,99999
22,junk,10/21/2020 00:00:00,112.000000,12.20,12.40,12.3,99999,99999
22,junk,10/21/2020 00:00:00,144.000000,12.20,12.20,12.2,99999,99999
22,junk,10/21/2020 00:00:00,160.000000,12.00,12.20,12.1,99999,99999
23,junk,10/22/2020 00:00:00,0.000000,17.00,17.80,17.4,99999,99999
23,junk,10/22/2020 00:00:00,32.000000,15.80,17.60,16.700000000000003,99999,99999
23,junk,10/22/2020 00:00:00,144.000000,12.20,12.20,12.2,99999,99999
23,junk,10/22/2020 00:00:00,240.000000,11.80,12.00,11.9,99999,99999
23,junk,10/22/2020 00:00:00,296.000000,11.60,11.80,11.7,99999,99999
23,junk,10/22/2020 00:00:00,352.000000,11.60,11.60,11.6,99999,99999
23,junk,10/22/2020 00:00:00,416.000000,11.40,11.40,11.4,99999,99999
23,junk,10/22/2020 00:00:00,512.000000,11.00,11.00,11.0,99999,99999
24,junk,10/23/2020 00:00:00,0.000000,17.40,17.60,17.5,99999,99999
24,junk,10/23/2020 00:00:00,8.000000,17.40,17.60,17.5,99999,99999
24,junk,10/23/2020 00:00:00,24.000000,17.40,17.60,17.5,99999,99999
24,junk,10/23/2020 00:00:00,48.000000,14.20,17.60,15.9,99999,99999
24,junk,10/23/2020 00:00:00,72.000000,13.00,13.20,13.1,99999,99999
24,junk,10/23/2020 00:00:00,96.000000,12.60,12.60,12.6,99999,99999
24,junk,10/23/2020 00:00:00,120.000000,12.40,12.40,12.4,99999,99999
24,junk,10/23/2020 00:00:00,136.000000,12.20,12.40,12.3,99999,99999
25,junk,10/24/2020 00:00:00,0.000000,17.40,17.60,17.5,99999,99999
25,junk,10/24/2020 00:00:00,8.000000,17.40,17.60,17.5,99999,99999
25,junk,10/24/2020 00:00:00,24.000000,17.40,17.60,17.5,99999,99999
25,junk,10/24/2020 00:00:00,40.000000,16.80,17.60,17.200000000000003,99999,99999
25,junk,10/24/2020 00:00:00,56.000000,14.20,15.00,14.6,99999,99999
25,junk,10/24/2020 00:00:00,80.000000,12.80,13.00,12.9,99999,99999
26,junk,10/25/2020 00:00:00,0.000000,17.20,17.60,17.4,99999,99999
26,junk,10/25/2020 00:00:00,8.000000,17.20,17.60,17.4,99999,99999
26,junk,10/25/2020 00:00:00,24.000000,17.20,17.40,17.299999999999997,99999,99999
26,junk,10/25/2020 00:00:00,40.000000,16.80,17.40,17.1,99999,99999
26,junk,10/25/2020 00:00:00,56.000000,13.60,16.00,14.8,99999,99999
26,junk,10/25/2020 00:00:00,72.000000,13.00,13.20,13.1,99999,99999
26,junk,10/25/2020 00:00:00,96.000000,12.60,12.60,12.6,99999,99999
26,junk,10/25/2020 00:00:00,112.000000,12.40,12.60,12.5,99999,99999
27,junk,10/26/2020 00:00:00,0.000000,16.80,17.40,17.1,99999,99999
27,junk,10/26/2020 00:00:00,8.000000,16.80,17.40,17.1,99999,99999
27,junk,10/26/2020 00:00:00,40.000000,15.20,17.20,16.2,99999,99999
27,junk,10/26/2020 00:00:00,64.000000,13.00,14.20,13.6,99999,99999
27,junk,10/26/2020 00:00:00,96.000000,12.60,12.80,12.7,99999,99999
27,junk,10/26/2020 00:00:00,136.000000,12.40,12.40,12.4,99999,99999
27,junk,10/26/2020 00:00:00,176.000000,12.20,12.20,12.2,99999,99999
27,junk,10/26/2020 00:00:00,192.000000,12.00,12.20,12.1,99999,99999
28,junk,10/27/2020 00:00:00,0.000000,16.60,17.40,17.0,99999,99999
28,junk,10/27/2020 00:00:00,16.000000,16.80,17.40,17.1,99999,99999
28,junk,10/27/2020 00:00:00,56.000000,14.80,17.40,16.1,99999,99999
28,junk,10/27/2020 00:00:00,88.000000,12.80,13.40,13.100000000000001,99999,99999
28,junk,10/27/2020 00:00:00,128.000000,12.40,12.60,12.5,99999,99999
28,junk,10/27/2020 00:00:00,176.000000,12.20,12.20,12.2,99999,99999
28,junk,10/27/2020 00:00:00,216.000000,12.00,12.00,12.0,99999,99999
28,junk,10/27/2020 00:00:00,256.000000,11.80,11.80,11.8,99999,99999
29,junk,10/28/2020 00:00:00,0.000000,17.00,17.60,17.3,99999,99999
29,junk,10/28/2020 00:00:00,40.000000,16.60,17.60,17.1,99999,99999
29,junk,10/28/2020 00:00:00,136.000000,12.20,12.80,12.5,99999,99999
29,junk,10/28/2020 00:00:00,320.000000,11.60,11.80,11.7,99999,99999
29,junk,10/28/2020 00:00:00,328.000000,11.40,11.80,11.600000000000001,99999,99999
29,junk,10/28/2020 00:00:00,448.000000,11.20,11.40,11.3,99999,99999
29,junk,10/28/2020 00:00:00,560.000000,11.00,11.00,11.0,99999,99999
29,junk,10/28/2020 00:00:00,648.000000,10.80,10.80,10.8,99999,99999
30,junk,10/29/2020 00:00:00,0.000000,16.80,17.20,17.0,99999,99999
30,junk,10/29/2020 00:00:00,16.000000,16.80,17.00,16.9,99999,99999
30,junk,10/29/2020 00:00:00,48.000000,16.20,17.00,16.6,99999,99999
30,junk,10/29/2020 00:00:00,80.000000,13.00,16.60,14.8,99999,99999
30,junk,10/29/2020 00:00:00,120.000000,12.40,12.40,12.4,99999,99999
30,junk,10/29/2020 00:00:00,152.000000,12.20,12.20,12.2,99999,99999
30,junk,10/29/2020 00:00:00,192.000000,12.00,12.00,12.0,99999,99999
30,junk,10/29/2020 00:00:00,216.000000,12.00,12.00,12.0,99999,99999
31,junk,10/30/2020 00:00:00,0.000000,17.00,17.60,17.3,99999,99999
31,junk,10/30/2020 00:00:00,16.000000,16.80,17.40,17.1,99999,99999
31,junk,10/30/2020 00:00:00,64.000000,13.20,17.20,15.2,99999,99999
31,junk,10/30/2020 00:00:00,144.000000,12.20,12.40,12.3,99999,99999
31,junk,10/30/2020 00:00:00,160.000000,12.20,12.40,12.3,99999,99999
31,junk,10/30/2020 00:00:00,224.000000,12.00,12.20,12.1,99999,99999
31,junk,10/30/2020 00:00:00,240.000000,12.00,12.20,12.1,99999,99999
31,junk,10/30/2020 00:00:00,296.000000,12.00,12.00,12.0,99999,99999
32,junk,10/31/2020 00:00:00,0.000000,17.00,18.00,17.5,99999,99999
32,junk,10/31/2020 00:00:00,24.000000,17.00,17.40,17.2,99999,99999
32,junk,10/31/2020 00:00:00,88.000000,13.00,14.20,13.6,99999,99999
32,junk,10/31/2020 00:00:00,144.000000,12.20,12.40,12.3,99999,99999
32,junk,10/31/2020 00:00:00,216.000000,11.80,12.00,11.9,99999,99999
32,junk,10/31/2020 00:00:00,296.000000,11.60,11.60,11.6,99999,99999
32,junk,10/31/2020 00:00:00,360.000000,11.40,11.40,11.4,99999,99999
32,junk,10/31/2020 00:00:00,416.000000,11.20,11.20,11.2,99999,99999
33,junk,11/01/2020 00:00:00,0.000000,17.20,17.80,17.5,99999,99999
33,junk,11/01/2020 00:00:00,8.000000,17.20,17.60,17.4,99999,99999
33,junk,11/01/2020 00:00:00,24.000000,16.80,17.40,17.1,99999,99999
33,junk,11/01/2020 00:00:00,40.000000,16.60,17.20,16.9,99999,99999
33,junk,11/01/2020 00:00:00,56.000000,15.60,17.20,16.4,99999,99999
33,junk,11/01/2020 00:00:00,80.000000,13.60,14.80,14.2,99999,99999
34,junk,11/02/2020 00:00:00,0.000000,17.20,17.60,17.4,99999,99999
34,junk,11/02/2020 00:00:00,8.000000,17.20,17.60,17.4,99999,99999
34,junk,11/02/2020 00:00:00,24.000000,17.00,17.40,17.2,99999,99999
34,junk,11/02/2020 00:00:00,40.000000,16.80,17.20,17.0,99999,99999
34,junk,11/02/2020 00:00:00,56.000000,16.20,17.20,16.7,99999,99999
34,junk,11/02/2020 00:00:00,72.000000,14.20,15.40,14.8,99999,99999
34,junk,11/02/2020 00:00:00,88.000000,13.00,13.40,13.2,99999,99999
34,junk,11/02/2020 00:00:00,112.000000,12.60,12.60,12.6,99999,99999
35,junk,11/03/2020 00:00:00,0.000000,17.00,17.40,17.2,99999,99999
35,junk,11/03/2020 00:00:00,8.000000,17.00,17.40,17.2,99999,99999
35,junk,11/03/2020 00:00:00,24.000000,16.80,17.40,17.1,99999,99999
35,junk,11/03/2020 00:00:00,40.000000,16.80,17.20,17.0,99999,99999
35,junk,11/03/2020 00:00:00,56.000000,15.40,17.00,16.2,99999,99999
35,junk,11/03/2020 00:00:00,72.000000,15.40,16.80,16.1,99999,99999
35,junk,11/03/2020 00:00:00,88.000000,13.80,14.00,13.9,99999,99999
36,junk,11/04/2020 00:00:00,0.000000,16.20,17.20,16.7,99999,99999
36,junk,11/04/2020 00:00:00,8.000000,16.40,17.20,16.799999999999997,99999,99999
36,junk,11/04/2020 00:00:00,32.000000,16.80,17.20,17.0,99999,99999
36,junk,11/04/2020 00:00:00,56.000000,15.60,17.00,16.3,99999,99999
36,junk,11/04/2020 00:00:00,104.000000,12.60,13.00,12.8,99999,99999
36,junk,11/04/2020 00:00:00,112.000000,12.60,12.60,12.6,99999,99999
36,junk,11/04/2020 00:00:00,136.000000,12.40,12.40,12.4,99999,99999
36,junk,11/04/2020 00:00:00,168.000000,12.20,12.20,12.2,99999,99999
37,junk,11/05/2020 00:00:00,0.000000,16.60,17.00,16.8,99999,99999
37,junk,11/05/2020 00:00:00,8.000000,16.60,17.20,16.9,99999,99999
37,junk,11/05/2020 00:00:00,24.000000,16.80,17.20,17.0,99999,99999
37,junk,11/05/2020 00:00:00,40.000000,16.60,17.20,16.9,99999,99999
37,junk,11/05/2020 00:00:00,56.000000,15.20,17.00,16.1,99999,99999
37,junk,11/05/2020 00:00:00,72.000000,13.80,14.60,14.2,99999,99999
37,junk,11/05/2020 00:00:00,88.000000,13.20,13.60,13.399999999999999,99999,99999
37,junk,11/05/2020 00:00:00,104.000000,12.60,12.80,12.7,99999,99999
38,junk,11/06/2020 00:00:00,0.000000,16.60,16.80,16.700000000000003,99999,99999
38,junk,11/06/2020 00:00:00,8.000000,16.60,17.20,16.9,99999,99999
38,junk,11/06/2020 00:00:00,24.000000,16.60,17.20,16.9,99999,99999
38,junk,11/06/2020 00:00:00,40.000000,16.40,17.00,16.7,99999,99999
38,junk,11/06/2020 00:00:00,56.000000,15.20,16.80,16.0,99999,99999
38,junk,11/06/2020 00:00:00,72.000000,14.40,15.00,14.7,99999,99999
38,junk,11/06/2020 00:00:00,88.000000,13.00,13.00,13.0,99999,99999
39,junk,11/07/2020 00:00:00,0.000000,16.60,16.80,16.700000000000003,99999,99999
39,junk,11/07/2020 00:00:00,8.000000,16.60,17.00,16.8,99999,99999
39,junk,11/07/2020 00:00:00,24.000000,16.60,17.00,16.8,99999,99999
39,junk,11/07/2020 00:00:00,48.000000,15.60,17.00,16.3,99999,99999
39,junk,11/07/2020 00:00:00,64.000000,14.00,16.40,15.2,99999,99999
39,junk,11/07/2020 00:00:00,80.000000,12.20,14.60,13.399999999999999,99999,99999
39,junk,11/07/2020 00:00:00,104.000000,12.20,12.80,12.5,99999,99999
39,junk,11/07/2020 00:00:00,128.000000,12.20,12.20,12.2,99999,99999
40,junk,11/08/2020 00:00:00,0.000000,16.60,16.80,16.700000000000003,99999,99999
40,junk,11/08/2020 00:00:00,8.000000,16.60,17.00,16.8,99999,99999
40,junk,11/08/2020 00:00:00,32.000000,16.40,17.00,16.7,99999,99999
40,junk,11/08/2020 00:00:00,56.000000,14.80,17.00,15.9,99999,99999
40,junk,11/08/2020 00:00:00,88.000000,12.80,14.00,13.4,99999,99999
40,junk,11/08/2020 00:00:00,112.000000,12.60,13.00,12.8,99999,99999
40,junk,11/08/2020 00:00:00,136.000000,12.20,12.60,12.399999999999999,99999,99999
40,junk,11/08/2020 00:00:00,168.000000,12.40,12.40,12.4,99999,99999
41,junk,11/09/2020 00:00:00,0.000000,16.60,17.00,16.8,99999,99999
41,junk,11/09/2020 00:00:00,8.000000,16.60,16.80,16.700000000000003,99999,99999
41,junk,11/09/2020 00:00:00,24.000000,16.60,17.00,16.8,99999,99999
41,junk,11/09/2020 00:00:00,40.000000,16.40,17.00,16.7,99999,99999
41,junk,11/09/2020 00:00:00,56.000000,14.80,16.80,15.8,99999,99999
41,junk,11/09/2020 00:00:00,72.000000,13.80,14.60,14.2,99999,99999
41,junk,11/09/2020 00:00:00,96.000000,13.20,13.20,13.2,99999,99999
42,junk,11/10/2020 00:00:00,0.000000,16.00,16.80,16.4,99999,99999
42,junk,11/10/2020 00:00:00,8.000000,16.60,16.80,16.700000000000003,99999,99999
42,junk,11/10/2020 00:00:00,24.000000,16.60,16.80,16.700000000000003,99999,99999
42,junk,11/10/2020 00:00:00,40.000000,16.60,16.80,16.700000000000003,99999,99999
42,junk,11/10/2020 00:00:00,56.000000,15.80,16.80,16.3,99999,99999
42,junk,11/10/2020 00:00:00,72.000000,15.00,16.60,15.8,99999,99999
43,junk,11/11/2020 00:00:00,0.000000,16.60,16.80,16.700000000000003,99999,99999
43,junk,11/11/2020 00:00:00,16.000000,16.60,16.80,16.700000000000003,99999,99999
43,junk,11/11/2020 00:00:00,48.000000,15.20,17.00,16.1,99999,99999
43,junk,11/11/2020 00:00:00,80.000000,13.20,13.80,13.5,99999,99999
43,junk,11/11/2020 00:00:00,120.000000,12.40,12.60,12.5,99999,99999
43,junk,11/11/2020 00:00:00,144.000000,12.20,12.40,12.3,99999,99999
43,junk,11/11/2020 00:00:00,176.000000,12.00,12.20,12.1,99999,99999
43,junk,11/11/2020 00:00:00,216.000000,11.80,12.00,11.9,99999,99999
44,junk,11/12/2020 00:00:00,0.000000,16.60,17.00,16.8,99999,99999
44,junk,11/12/2020 00:00:00,16.000000,16.60,17.00,16.8,99999,99999
44,junk,11/12/2020 00:00:00,56.000000,14.80,16.80,15.8,99999,99999
44,junk,11/12/2020 00:00:00,96.000000,12.60,13.80,13.2,99999,99999
44,junk,11/12/2020 00:00:00,144.000000,12.40,12.40,12.4,99999,99999
44,junk,11/12/2020 00:00:00,200.000000,12.00,12.20,12.1,99999,99999
44,junk,11/12/2020 00:00:00,216.000000,12.00,12.00,12.0,99999,99999
44,junk,11/12/2020 00:00:00,264.000000,11.80,11.80,11.8,99999,99999
45,junk,11/13/2020 00:00:00,0.000000,16.20,16.80,16.5,99999,99999
45,junk,11/13/2020 00:00:00,8.000000,16.20,17.00,16.6,99999,99999
45,junk,11/13/2020 00:00:00,32.000000,16.60,17.00,16.8,99999,99999
45,junk,11/13/2020 00:00:00,56.000000,15.80,17.00,16.4,99999,99999
45,junk,11/13/2020 00:00:00,104.000000,12.60,13.60,13.1,99999,99999
45,junk,11/13/2020 00:00:00,120.000000,12.20,12.80,12.5,99999,99999
45,junk,11/13/2020 00:00:00,144.000000,12.00,12.40,12.2,99999,99999
45,junk,11/13/2020 00:00:00,168.000000,12.00,12.00,12.0,99999,99999
46,junk,11/14/2020 00:00:00,0.000000,16.20,16.80,16.5,99999,99999
46,junk,11/14/2020 00:00:00,8.000000,16.20,16.80,16.5,99999,99999
46,junk,11/14/2020 00:00:00,32.000000,16.40,17.00,16.7,99999,99999
46,junk,11/14/2020 00:00:00,48.000000,15.00,17.00,16.0,99999,99999
46,junk,11/14/2020 00:00:00,72.000000,13.40,16.20,14.8,99999,99999
46,junk,11/14/2020 00:00:00,96.000000,12.60,13.40,13.0,99999,99999
46,junk,11/14/2020 00:00:00,112.000000,12.40,12.80,12.600000000000001,99999,99999
46,junk,11/14/2020 00:00:00,144.000000,12.20,12.20,12.2,99999,99999
47,junk,11/15/2020 00:00:00,0.000000,16.40,16.60,16.5,99999,99999
47,junk,11/15/2020 00:00:00,8.000000,16.40,16.60,16.5,99999,99999
